above-board, negligible: 0.0
despicable, elsewhere: 0.760783023726
encouraged, selfevident: 0.0
drastic, omnibus: 0.276752141186
everywhere, managed: -0.408098932621
altered, conspicuous: 1.18883411825
ill-conceived, uncontroversial: 0.0
freest, sharp: 0.962565322969
associated, by-election: 0.0
restless, youth: 1.1888268843
opened, unequivocal: 0.089684012974
diverse, environment: 1.70435611973
milder, task-oriented: 0.0
prominent, shorter: 0.304921146772
likable, recurrent: -0.01663517715
broken, knackered: 2.67958430058
staggering, surrounded: 0.176932430032
incalculable, laborious: 1.85022599049
idiot, mandatory: 0.651029818948
born, industrialized: 1.20337253881
partial, substantial: 1.93147039143
demonstrated, preferred: 0.622217849868
heterogeneous, shitty: 1.00435864728
disoriented, giddy: 2.41870358992
minute, susceptible: 0.364040283628
tense, unharmed: 2.40372828391
matched, strained: 1.70134963311
adversarial, sooner: 1.16517131712
accordingly, disrespectful: 1.30945940835
minus, vicious: 0.489144338762
unbearable, unharmed: 2.19877554416
smokin, worded: 1.02939825503
broadest, clever: 0.756851793686
exhilarating, expanding: 0.22347028047
healthier, keen: 1.13003827505
antagonistic, ugly: 2.58226512073
easier, protracted: 0.658695271086
incidental, key: 0.751196285108
flame-retardant, unrestricted: 0.0
determinative, uniformed: 0.570842937677
girlie, reai: 0.0
nearby, stand-alone: 0.0
burdensome, hideous: 2.00790462693
concluded, sublime: 0.047679312329
counter, well-treated: 0.0
impaired, treatable: 3.14530868653
butthead, conventional: 0.349539331146
better-quality, striking: 0.0
bold, sounder: 1.71770914879
meritorious, uncomfortable: 0.66766787244
canceled, history: 0.36897519774
better-looking, presumptuous: 0.0
objective, weii: 0.0
loveable, well-informed: 0.0
mixed, why: -0.091130492936
morbid, shoot: 0.937266592788
empty, extraneous: 1.502586821
incorrect, longitude: 3.64175625631
apologise, challenging: 0.0
honored, statewide: 0.67885504178
central, mistaken: 0.394475847486
master, reasonably: 0.152183381314
naked, now: 0.574043683249
moody, zesty: 2.62465371184
counterproductive, zero: 1.24083296271
cheery, perfectly: 1.44685662418
appreciable, conscious: 1.47638859932
19, pitiful: 0.0
butthead, off-putting: 0.0
bonnie, uptown: 1.48178346734
pleasant, vice-chairman: 0.0
efficient, sudden: 0.054374600993
courteous, science-based: 0.0
registered, through: -0.165435851937
impenetrable, sicker: 0.58962733867
engaged, unlucky: 0.45605438953
disrespectful, miniscule: 0.539907689456
fourth, leveraged: 0.483359468066
icy, unsatisfactory: 1.74803872342
axiomatic, stupid: 2.51315879802
comfortable, prudent: 2.6755110928
brand-new, luke: 0.0
heated, high: 1.0043167072
healthy, horrible: 1.23665703971
-surprised, sudden: 0.0
equally, hither: 1.13139547482
-sorry, staff: 0.0
completely, unproductive: 1.43039354326
traffic, unequivocal: -0.121281967272
inevitable, thirteen: -0.217601370824
delay, well-documented: 0.0
faithful, grisly: 1.11480189364
