10, independent: 0.0
destructive, mightier: 3.17870400642
opportune, sultry: 0.350887471154
monstrous, up: 1.07531336512
larger, paradoxical: 1.15369456737
daily, monumental: 0.570460087226
heartbroken, poorer: 1.15051602972
hereby, inadvisable: 1.91066821362
accused, mutual: 0.290467700361
adaptable, first-rate: 0.0
idiotic, well-treated: 0.0
bored, griet: 0.0
screwed, wait: 1.91974183354
bitter, confrontational: 2.93007232196
mentioned, warned: 1.7322131171
juvenile, slightly: 0.420876963601
fairer, spoilt: 0.0
entrenched, omnibus: -0.147040121605
dead-on, shifty: 0.0
properly, unattractive: 0.463943308256
offensive, unemployed: 1.25820848782
carefully, dreadful: 0.925766344799
canceled, condescending: 0.500691754044
all, dorky: 0.826539514264
given, wait: 0.895174784659
intolerable, limp: 0.955986715506
flattered, implausible: 2.035834932
prouder, satisfying: 2.49898076305
identical, note: 0.340511578022
masterful, unique: 1.62532982663
berserk, plentiful: 0.412897394004
filed, guilty: 2.11371627561
nominal, trite: 1.19284523015
appropriate, combative: 0.686344139835
by-election, rooted: 0.0
another, erroneous: -0.031102379399
possible, unimaginable: 1.10729388234
secretive, wanna: 0.141419016345
first-rate, frail: 0.0
gaunt, respect: -0.506935668012
healthier, realistic: 2.04501655103
ill-founded, others: 0.0
unimportant, well-balanced: 0.0
long-term, unitary: 0.0
french, yes: 1.81479939787
addictive, compensable: 1.4961979172
mesmerizing, untraceable: 1.06741167619
fragile, pristine: 2.58521354144
mieux, well-off: 0.0
cheesy, unjustified: 0.814349037778
confident, magic: 0.674712426883
memorable, smoother: 2.05563238323
advantaged, unexpected: 0.143357380519
desperate, impolite: 0.634204379801
destabilizing, ravishing: 1.40544436628
armored, realistic: 0.53501883464
disagreeable, quick: 0.563204006631
above, actionable: 0.190405041741
affirmative, shallow: 0.280813642075
tiny, yet: 0.205202292799
larger, private: 1.52037244846
geographic, idiot: -0.260875909461
occupational, well-done: 0.0
non-compensatory, occupational: 0.0
official, outgoing: 0.620129815676
costlier, weary: 1.75010490523
juicy, routine: 0.509693900475
-me, ideal: 0.0
bizarre, infrequent: 1.66708599588
neglected, sicker: 2.04445473218
higher, murderous: 0.012461895208
disabled, two-thirds: 0.0
innumerable, well-educated: 0.0
talented, unaltered: -0.877208091423
injured, perpetual: -0.798220819036
begin, inescapable: 0.491941921149
crowded, environmental: 0.243250140208
agreement, thready: -0.472100482172
essentially, galore: 0.397669789909
insufficient, max: 0.771778477819
everybody, specialized: 0.067299103293
booming, still: 0.761602249534
articulated, exceptionally: 0.855985991233
grim, indian: -0.014885280965
antiquated, democratically: 1.07894491661
multicultural, personalized: 1.46297051825
successfully, watchful: -0.099402675132
afraid, fitting: 0.202415132979
grateful, sal: -0.396965066306
distribution, mandatory: 0.442434629123
improvement, unnatural: 0.25055391456
iike, spoilt: 0
hlv-positive, immovable: 0.0
hip, unforeseeable: 0.463545312846
awaken, strengthening: 0.638971819711
awkward, standardized: 0.53824301618
tiny, whole: 1.20426540264
least, liberated: 0.262909486438
individual, warranted: 0.805420043326
smokin, ungrounded: -0.770338392314
dark, prevailing: 0.807774877136
mechanical, most: 0.297784098828
great, objectionable: 0.595473764891
subsidized, user-friendly: 0.0
actual, deductible: 1.68516648574
dorky, imported: 0.16379151744
-lnteresting, subdued: 0.0
costly, widening: 0.74608938907
danger, needy: 0.485834855188
practical, readable: 2.90642869068
superficial, wholesome: 2.37866733548
big, unremarkable: 0.588556922098
envious, fine: 0.346997888511
prohibitive, puny: 2.03229642838
legally, six-year: 0.0
fuckin, meaner: 2.73177449485
grumpy, paradoxical: 1.66475388785
hard, tiresome: 1.91876042201
defeated, widespread: 0.178481464258
fluent, safer: 0.434743224612
imprecise, occupied: 0.645750599826
muted, practical: 0.365628096649
condescending, sociable: 2.28516185934
essentially, unattainable: 1.36594840068
co-ownership, guys: 0.0
demeaning, south: 0.32465370065
formed, pro-choice: 0.0
generalised, pretty: 0.0
exaggerated, unattractive: 2.30618644254
re-appointed, smug: 0.0
formidable, mainly: 0.211583520358
extreme, stringent: 2.19222353589
groundless, toxic: 1.6690316767
impartial, mediocre: 0.684200055996
less, named: -0.328919041538
all-round, useful: 0.0
identify, particular: 1.46754867415
co-, liberal: 0.0
imperfect, industrialized: 1.45931263931
above, task-oriented: 0.0
inhumane, superficial: 1.88318143062
appreciable, flat: 1.02368378426
restricted, thought-out: 0.0
charged, defenceless: 0.0
compliant, kosher: 2.38278462809
fun, incalculable: 0.748702469646
hardest, loving: 0.801483438504
broader-based, recently: 0.0
intricate, undetermined: 0.487357425403
boring, ill-defined: 0.0
constructed, debatable: 0.932064014487
-, distressed: 0.0
just, unable: 0.582266795652
agreement, poorer: 0.74202007082
formidable, noisy: 1.11057985613
mainstream, quoted: 0.325257101942
constructed, late: -0.104993209643
breathe, pristine: 1.11542846035
innocents, shifty: 0.285180245007
chosen, widening: 0.4003904295
adamant, financed: 0.794450883295
sympathetic, teeny: 0.628036355235
abolished, lengthier: 0.86895649963
bad, safest: 1.91243192092
cohesive, fine: 0.8873788898
sixteen, unresolved: 0.377404564801
alternative, memorable: -0.184061498647
bereft, principally: 0.805560162162
primordial, relieved: -0.207651032979
horrendous, thready: 0.714402919109
anxious, varied: 0.563436803408
private, self-contained: 0.0
all, efficient: 0.48793942257
