economic, successful: 0.32790439873
impermissible, socio-economically: 0.0
legally, substantive: 1.15610051929
charmed, nice-looking: 0.0
affirmative, disadvantaged: 0.808587991407
sobering, suddenly: 1.04243200839
know, simplifying: 0.422254514891
dickish, shy: 1.12621980587
friendly, much: 0.811842528246
authentic, naive: 0.892491704784
cute, incomprehensible: 1.55043951291
fantastic, smoother: 2.23025398905
unsure, unused: 1.62451572919
hateful, susceptible: 1.35907250827
elite, tan: -0.132956316612
delicate, self-sufficient: 0.0
non-binding, serene: 0.0
found, multi-layered: 0.0
self-sustaining, thinner: 0.0
abolished, jumpy: -0.429494975376
courrier, fucking: 0.826411449873
unsatisfactory, well-educated: 0.0
exemplary, frightful: 0.401568011826
stale, this: 0.82018620937
unhurt, willing: 1.80610128147
enlarged, hinky: 0.15499028114
hasty, integrated: 0.145911978724
complex, newer: 1.0441824261
jolly, reai: 0.0
faultless, paradoxical: 0.912650447592
freest, stifling: 3.49128495101
2nd, hooked: 0.361706004974
eleven, unprotected: 0.8536631061
unconscionable, weird: 2.0893846046
astonishing, considerable: 2.0086167196
growing, well-maintained: 0.0
accuracy, answerable: 0.489558604561
riveting, sympathetic: 1.67575018102
re-established, reasoned: 0.0
graduate, shipshape: -0.198765276983
also, vital: 0.963409361894
-sorry, enrolled: 0.0
armed, but: 0.375428368835
more, non-existent: 0.0
succinct, thirds: 0.354118590326
actual, disruptive: 0.678190693825
cruellest, protracted: 1.33018965241
enforceable, useless: 1.60583805187
accelerating, value: 1.00679016128
cuter, various: -0.746399363261
acceded, usable: 0.326725779331
economically, written: -0.004060145469
prepared, serious: 0.792575578828
foremost, oriental: 0.747237844864
latter, outrageous: 0.253545211577
bigger, short-lived: 0.0
irate, vicious: 2.37037393884
discriminate, sicker: 1.91669920447
north, represented: 0.498335485847
afraid, lovelier: 0.988433210861
frazzled, subject: -0.198600231196
existing, like: 0.691055612098
immoral, irregular: 2.8051784725
compensatory, joyful: 0.795852232257
fitting, irritable: 0.486142207107
monstrous, monthly: 0.060666794957
fried, terminated: 0.226401920599
destructive, dismissed: 0.548270691706
blind, connected: 0.517734478545
conceivable, key: 0.839853484786
dickish, necessary: 0.442885235529
focused, unavoidable: 0.512360702703
masterful, requested: -0.250819609273
re-established, staggering: 0.0
launched, organic: 0.458362918286
preposterous, treaty: 0.543180224203
hairy, hospitable: 2.40412089194
displeased, presentable: 1.02742315899
erected, pleasing: 0.159345669518
relative, subject: 0.512813177561
complex, economically: 1.00579016886
donkey, luck: 2.40381547909
enabled, skinny: 0.000975790059
glamorous, wealthier: 1.97160820093
physical, placed: 0.515663378256
imrtant, tell: 0.0
damp, gone: 0.822347727862
awaken, pragmatic: 0.305863445792
delightful, garbled: 1.362649279
mightier, secondly: 0.618123101646
lighter, tricky: 1.47378479269
attention, holy: 0.1474292104
arbitrary, yourself: 1.11858983488
co-operate, done: 0.0
disconcerting, undecided: 0.970319490935
rewarding, scaleable: 1.94742391736
off-putting, righteousness: 0.0
deserted, uh-huh: 0.0
middle, nobler: -0.095549746136
forthright, hence: 0.219850799868
precisely, random: 0.838208477374
broadest, fucked-up: 0.0
incompetent, pertinent: 1.03756457914
installed, unattainable: 0.297578758137
relevant, responsive: 3.51063176651
lasting, soft: 0.900822467996
helpful, sixth: -0.717408213983
inactive, soaring: 0.083679799862
justified, mistaken: 2.75394959576
braver, brilliant: 1.51577576203
good-looking, her: 0.0
hopeful, unlawful: 0.393689757513
improper, slower: 0.737559783485
preceding, valid: 1.35994583591
applicable, hands-on: 0.0
inquisitive, loving: 4.01778426502
rapid, sunnier: 0.084607380752
audience, belle: 0.348652580301
elongated, other: 0.29092880857
competence, politically: 0.95546321775
desolate, vigorous: 0.505824975498
needless, profane: 1.56457401024
humiliated, righteousness: 1.65302498152
conventional, substantial: 0.78720039582
commonplace, jolly: 0.434941322507
oldest, written: 0.145698577962
pro, prosperous: 0.685913832606
adapted, tempting: 0.574077289171
pitiful, uncertain: 1.17310081448
friendlier, motherfucker: 0.154690645634
hunger, prejudicial: -0.729998387078
broadest, straight: 1.41021775697
drunk, someday: 0.539695139316
elected, repelling: 0.55232208225
dumb, seamless: 0.635273340322
apart, worth: 1.06556033264
america, fat: 2.62514428625
crystal-clear, reduced: 0.0
restored, worst: 0.215811726405
last, screened: 0.273882312142
clueless, ingrained: 1.68994765283
breathtaking, seldom: 1.46926270646
revealing, suspicious: 0.849075753611
illicit, merry: 0.896122449685
exposed, unwelcome: 1.59726215528
co-financing, disproportionate: 0.0
bright, consulted: -0.162013727493
imperative, sketchy: 0.345212324495
ah, wasted: 0.265822170129
inter-related, juicy: 0.0
busy, controversial: 0.839774442138
policy, truthful: 0.899171763406
felt, undamaged: 0.770595600125
disgusting, whar: 0.0
constant, obnoxious: 1.04266766364
addition, grim: -0.509323136822
colossal, religious: 0.114938091201
asian, harder: 0.488553095105
biggest, prime: 2.50525569633
eligible, meaner: 1.01556354288
superb, weird: 1.25336879792
luke, requests: -0.5165018213
empty, pretty: 0.745274516156
celebrated, drastic: 0.288993964376
same, swifter: 0.38089354305
foul, graver: 1.41629184941
moody, shortly: 0.020911892543
accordingly, cumbersome: 0.49262671306
considerable, essentially: 0.677085681801
own, recognised: 0.0
icy, welcomed: 0.083380745335
cleverer, conducive: 1.46796045408
recognised, tense: 0.0
central, stimulating: 1.21383255132
friendlier, nathan: -0.581836322362
brave, iucky: 0.0
hereto, matched: -0.570642637598
hardworking, ideally: 0.205314286439
casual, fascinated: 1.03219343743
drenched, familiar: 1.44337642526
etcetera, these: 1.8773161638
deadly, radical: 1.23405918746
belated, ugly: 0.922265302252
chosen, out: 0.336578915964
transparency, two-fold: 0.0
desperate, petrified: 2.42970204425
single-ranked, tabling: 0.0
something, startling: 0.691927190877
effective, performed: 0.746534029233
annually, stepped-up: 0.0
horrific, racked: 1.30042074155
beloved, miscellaneous: -0.334203293219
additional, random: 1.15558385115
comprehend, importantly: 1.38887307942
dodgy, latter: 0.944335049006
medium-sized, non-self-executing: 0
-just, interest: 0.0
complementary, unsustainable: 1.14917986603
aggravated, impermissible: 1.87128659731
dorky, known: 0.742907032154
sixth, worse: 1.0555736504
excited, temporary: -0.210257541725
focussed, injurious: 0.36524478705
goofy, luminous: 1.46641981359
cracked, unequal: 0.429165841399
grieved, urgent: 1.0256346394
accountability, undecided: -0.179863126993
clean, suited: 0.840286779419
intractable, various: 0.644438612514
drunk, high-quality: 0.0
acclaimed, inadequate: 0.05482728327
active, skint: -0.12421577546
frightening, non-transparent: 0.0
naughty, well-received: 0.0
meticulous, workable: 1.13160082823
rough, thirsty: 1.07914515716
folks, unsteady: -0.52913382795
acknowledged, in-progress: 0.0
anything, user-friendly: 0.0
fantastic, follows: 0.411508231038
belated, well-written: 0.0
fall, thirds: 0.963120909021
cold-rolled, grievous: 0.0
thicker, well-paid: 0.0
generally, periodic: 1.74157933611
craze, typical: 0.559268027382
discriminate, prettier: 1.25286195256
added, incompatible: 0.217068389302
initial, stylish: -0.245659635902
brainless, pre-published: 0.0
frightening, mostly: 0.232697812194
accountable, milder: 0.493117104584
tighter, unprepared: 0.961372446117
adversarial, bull: 1.19325362522
challenges, outermost: 0.06962000063
organised, overworked: 0.0
long-range, vis-: 0
automated, opening: 0.750645437044
hip, lasting: 0.219070188695
anywhere, talkative: 0.272967187183
silent, technological: 0.54828197371
arbitrary, similarly: 0.97513666848
asking, belated: 0.790040873787
inside, somewhere: 1.46248315713
onerous, peculiar: 1.86560279067
apt, good-iooking: 0.0
interoperable, tense: 0.247172807771
multi-dimensional, oral: 0.0
home, patient: 0.876481176316
scalable, widespread: 0.967426916253
condescending, overwrought: 3.98330244394
secretive, sinful: 1.88872676068
history, humiliated: 0.562214710323
disastrous, strained: 2.0632764811
entirely, indiscreet: 0.535049140934
careless, renowned: 0.346758157808
handled, noble: -0.558373643835
funnier, well-done: 0.0
axiomatic, confrontational: 1.1978176319
lasting, patronizing: 0.198784301503
instable, sinister: 1.55020705856
busy, likable: 1.04130331938
entirely, undisputable: 0.98083032734
distracted, scanty: 0.052372466984
cross, treaty: 0.650904287401
frazzled, handed: 0.939896942289
disoriented, docile: 3.97443878569
green, results-oriented: 0.0
nervous, variable: 0.56997215622
elsewhere, fall: 0.49747863495
proportionate, pursuant: 4.06934433492
all-important, pro-poor: 0
best, unfettered: 0.537188849372
giddy, poorer: 0.021973435571
altered, degrading: 1.82180902217
ail, worst: 1.23641290365
delicate, right: 1.25958079178
alert, hon: 0.158803485882
ghastly, sinister: 3.59707042239
charged, funnier: 0.587166935573
daft, provided: -0.328669847498
freest, generated: 0.438196426737
contentious, starved: 0.417878958859
convenient, extant: 0.216319661731
higher, south: 0.702181129874
life-threatening, well-written: 0
appointed, southeastern: 0.495427626767
needed, talkative: 0.515250029461
newsworthy, nigeria: 0.116829750969
disputable, strongest: 0.865219184037
smarty, tiring: 0.678033736993
frantic, puny: 0.84772806114
export, longer: 0.274877228738
cowardly, unofficial: 0.498573488286
anti-constitutional, restored: 0.0
remediated, wealthiest: 0.164937744037
reciprocal, sensitive: 0.840447047296
administered, touching: -0.199100847736
however, well-armed: 0.0
independent, refundable: 1.22555507332
kinda, largest: -0.104716437375
needy, wide: 0.90706003015
find, violated: -0.216920097764
deceptive, lofty: 1.87420695102
sophisticated, wide: 0.827887555888
burdensome, exaggerated: 1.03237238911
senior, thirteen: 0.191990658121
grown-up, mindful: 0.0
removed, started: 0.731280804009
braver, entrenched: 1.64363329938
sicker, ungrounded: 0.940056876066
compatible, pre-published: 0.0
between, undignified: 0.214226208641
delightful, symbolic: 0.890781963328
about, unequivocal: -0.070477766418
herein, understanding: 0.235427165905
soaked, truthful: 0.778742299661
locked, trustworthy: 0.797723269714
armed, executable: 0.274058788338
rapid, subsequent: 1.86311150147
few, insufficient: 0.849583617349
sophisticated, strictest: 1.87830741713
eager, especiaily: 0.0
move, spent: 0.615204049509
all-embracing, distinguished: 0.0
captain, repealed: 0.475473086931
disadvantaged, environment: 1.37084253387
thin, way: 0.201633677981
life-long, stay: 0.0
delirious, implausible: 2.62949736306
other, supreme: 0.114394926813
mutual, regrettable: 1.44969169263
administered, mere: 0.377742151861
danger, frantic: 1.52766178191
greatest, pleasant: 1.06560853292
entirely, gay: 0.196236754286
detrimental, large: 0.89004254999
misused, weakest: 1.25126215976
at, superstitious: 0.098874107172
consultation, statewide: 0.441668476557
egocentric, grieved: 1.34079121574
harmonised, intact: 0.0
everyone, pray: 1.85082504068
co-funded, laughable: 0.0
acknowledging, poorest: 0.704082859508
corrigendum, high-ranking: 0.0
dandy, unthinkable: 1.67801306904
sixth, unconventional: -0.017893326899
crafted, successfully: 0.364267984895
allright, compulsory: 1.08525649796
insulting, thinner: 0.487979002426
bad, trusted: 1.15572028509
abhorrent, secured: -0.479461645967
grievous, individual: 0.908882385834
imperative, low-skilled: 0.0
disgraceful, imported: -0.180748513886
derisory, dynamite: 1.15017872936
corny, ineffectual: 1.95207408373
complacent, inadmissible: 0.639538652479
1st, disruptive: -0.049326004502
traditional, whatever: 0.540871056107
alternative, undisturbed: 0.669481201804
screwy, suddenly: 1.09423609808
-me, shit: 0.0
fledged, well-formed: 0.0
corrupt, friends: 0.696954913172
extirpated, female: 1.1260549449
costly, illicit: 0.731301357024
focused, minimal: 0.931573858611
selfevident, treasured: 0.0
endearing, unavoidable: 1.40774499235
hip, inoperable: 1.78610989762
dormant, me: 0.382056704067
policy, transient: 0.162473888766
cheesy, thereto: 0.44626811683
authentic, modern: 2.26824870484
first, good-looking: 0.0
locked, stressful: 1.53508548602
vulnerable, warmth: 0.861672616786
panicky, persuasive: 1.66537613135
her, selected: -0.615200488426
held, interest: 0.348163672486
amiss, recurrent: 0.241425082078
elderly, giant: 0.49815727968
apologise, circumneutral: 0
anti-constitutional, clean: 0.0
convenient, unanswered: -0.016318346027
obliged, virtuous: 1.71385595356
general, weaker: 0.746579257323
healthy, perpetual: 0.944001897266
distasteful, moderate: 0.78234904541
internal, wise: 0.342455308186
relative, righteousness: 0.789071416592
constrained, smart: 1.00485619453
self-evident, subsidized: 0.0
described, smokin: -0.387144801112
sloppy, well-prepared: 0.0
accomplished, exhaustive: 1.86350654898
intertwined, laudable: 1.235464315
docile, importantly: 0.894147589578
firm, performed: -0.01685124419
alone, bright: 0.669295115713
hither, left: 0.408920692165
braver, minuscule: 0.004405502154
equipped, in-progress: 0.0
tedious, violent: 1.30111396007
aesthetic, slight: 1.35145296258
deductible, eager: -0.405784127511
lucky, radical: -0.028806751027
praiseworthy, trashed: 0.804393790928
export-ready, frazzled: 0.0
hence, manufactured: 0.707455939884
chosen, displaced: 0.653967222977
ambitious, manifest: 0.466636833268
overripe, proactive: 0.351627708722
disgraceful, heaviest: 1.36204166666
diligent, smooth: 2.15837931582
abused, these: 0.525457870636
comfortable, try: 0.969126852555
incongruous, individual: 0.793699680161
determinable, hence: 2.03033427978
disconcerting, self-sufficient: 0.0
dismissed, patience: 0.681849200897
designated, vice-chairman: 0.0
interdisciplinary, simple: 0.783565340002
complements, dearer: -0.048250255489
presumptuous, welcome: 1.19185176182
assertive, super: 0.711065690566
instructive, unreliable: 1.74814677834
filed, lucrative: -0.240419390275
self-sufficient, talented: 0.0
drawn-out, issue: 0.0
regrettable, school: 0.397851662293
enormously, salutary: 1.54552567222
discernible, variable: 1.19674879039
inclusive, well-armed: 0.0
total, under-funded: 0.0
doomed, just: 0.781661339685
dumb, inoperable: 1.73039328553
note, predominant: 0.771381887893
adaptive, doctor: -0.450632075192
narrower, single-ranked: 0.0
looking, supra: 0.863170751331
doing, superb: 0.732563415243
thrilling, universal: 0.613279916204
eccentric, redundant: 1.18664893906
creditable, nascent: 0.780440472949
admirable, nut: 0.758849165856
retrievable, spoilt: 0.0
brillant, hunger: 0.143824838624
flavorful, subsidized: 0.886652718708
ludicrous, standing: 0.536159717277
gay, importantly: 0.569556939725
adequate, especially: 0.902614101431
notably, well-armed: 0.0
inadequate, worrisome: 1.85703658954
deprived, forthright: 0.735658255832
circumspect, formed: 0.17430346079
briiliant, sacrosanct: 0.0
starved, utopian: 0.967601894334
carefully, so: 0.875566971061
reasoned, through: 0.379178101761
conscientious, needless: 1.74491187721
legendary, main: 1.01220143109
dispute, late: 0.599819234619
annoyed, repulsive: 2.39874309343
expandable, leveraged: 2.11365739502
fair-minded, respect: 0.0
over-the-air, stifling: 0.0
ensuring, prepared: 1.09334112205
principal, sacred: 0.160441650735
fragmented, treble: 0.442560555825
hereto, high-availability: 0.0
perfect, swearing: -0.180695785587
need-to-know, sentimental: 0.0
co-operate, majeure: 0.0
clearest, older: -0.193166693603
clarified, negative: 1.18331953558
determined, rogue: 0.63359660969
another, slick: 0.388073759888
america, poppycock: 1.53290425089
eighth, subsequent: 0.594799363799
aforementioned, topical: 1.04417846517
off-putting, truthful: 0.0
shallow, testy: 0.454198774998
scrumptious, self-contained: 0.0
daunting, mama: -0.217089650155
acceptable, skeletal: 0.922743167083
grass-roots, unwise: 0.0
beastly, north-east: 0.0
coordinated, wack: 0.317423428028
noteworthy, radical: 1.29358876644
freezing, plain: 0.588072103936
toasted, untouched: 1.4738596709
doable, formally: 0.20726624958
legitimate, succinct: 1.32194353836
rigght, supreme: 0.0
flourishing, interminable: 0.465408081986
funnier, misguided: 1.20110634524
contradictory, returned: -0.025968992054
elite, turned: 0.446681911086
rare, secondary: 0.417207130523
indicated, welcoming: 0.452472464954
lame, related: 0.841161272674
alert, illogical: 0.422841891141
consolidated, copacetic: -0.570934758692
flaccid, unheard-of: 0.0
burned, clean: 1.19177987949
elderly, net: 0.669948452085
19, toasted: 0.0
expensive, reai: 0.0
squeamish, trustworthy: 2.17904186041
geographic, spontaneous: 0.334888210385
defeated, mature: -0.201664358156
geographic, white: 0.423779175552
actively, buoyant: 0.835097361998
alternate, deeper: 0.933590140394
horrid, muted: 1.65672829115
characteristic, these: 0.787134213432
inoperable, psychogenic: 1.77580702955
performed, updating: 0.41918678985
bi-directional, superstitious: 0.0
richest, thrilled: 0.248052031096
born, simplest: -0.106130564184
confidential, flavorful: 0.315916152616
concerted, connected: 0.467831754391
advisable, definitive: 1.30628712801
conventional, spectacular: 1.09192298758
overt, seropositive: 1.00459329212
subtle, well-prepared: 0.0
objective, understanding: 2.17255618974
customary, grass-roots: 0.0
interrelated, supreme: 0.723063960594
heavyset, noted: 0.402443783512
academic, longer-term: 0.0
stunning, vast: 2.17742847562
stern, suited: 0.123610428216
fair-minded, identify: 0.0
incompatible, redundant: 3.3030084963
fair, hateful: 0.55837977717
etc, happened: 0.143077702703
large, losin: -0.22102193496
cute, undemocratic: 1.21493265896
profound, stout: 0.340362664093
dead-on, understanding: 0.0
matched, neat: 0.880761428808
delicious, recurring: 0.292630382279
essential, quickly: 0.825766165119
heartfelt, trivial: 1.28882901186
stale, symmetrical: 0.470808148452
cost-effectiveness, skilful: 0.0
doctor, fancy: 0.672921262404
documented, warm: -0.030495718735
anyway, grumpy: 1.53378907193
satisfactory, two-thirds: 0.0
functioning, tired: 0.436256271224
false, persuasive: 2.15580600926
energy-efficient, intensive: 0.0
inconspicuous, real: 0.179050080578
fun-loving, hilarious: 0.0
articulated, well-suited: 0.0
benign, coast: 0.358308380759
extirpated, weary: 0.069094793541
well-respected, year: 0.0
overheated, usable: 1.2795763032
comfy, equal: 0.077487141143
opening-up, psycho: 0.0
light, scarcer: 0.048461425029
confidentiality, reasoned: 0.920577102055
inconsiderable, ubiquitous: 1.22386405443
academic, labour-intensive: 0.0
achievable, unabated: 0.618419219579
lacking, scattered: 1.42730079659
creative, vocational: 0.782285707828
ago, emphasise: 0.0
lately, needed: 0.275987852024
comfy, overridden: -0.278493611529
non-discriminatory, sound: 0.0
contained, triple: 0.019081712922
change, reassuring: 0.767143224934
hinky, promising: 0.255341818695
outgoing, require: -0.017327304899
american, nigh: 1.10382280004
intractable, limber: 0.956721502127
multifocal, rugged: 1.49488943221
frail, inter-linked: 0.0
braver, possibly: 0.459721583406
embarrassed, vicious: 1.16186501416
advised, utilized: 0.990115049496
favorable, international: 0.808645285684
aggressive, bizarre: 1.21406539855
finest, firm: 0.350841148206
lower, momentous: -0.174567457752
acceded, robust: 0.815772855195
formal, understanding: 1.1177206116
colder, plausible: 1.3465610278
long-standing, schizo: 0.0
otherwise, suspected: 0.211807464734
bold, defenseless: 0.883458761339
elite, proscribed: 0.844542542224
gigantic, stylish: 0.620664438169
monumental, top: 0.658164830417
dorky, life-long: 0.0
coordinated, unused: -0.467346605937
girl, substandard: 0.06657557642
familiar, inconsistent: 1.26064786065
deceptive, stress-related: 0.0
fifteen, win: 0.178098812275
deep-rooted, troublesome: 0.0
cruellest, unimaginable: 4.09643807154
depraved, sleepy: 1.93757599984
lowest, spatially: -0.690560689391
proven, silly: 0.463757447731
impulsive, sufficiently: 0.924573422765
change, suddenly: 0.94979406303
close, good-iooking: 0.0
evening, unsolved: 0.672726707101
miniscule, sacrilegious: 1.13409205049
horrific, long-range: 0.0
entrenched, tabled: 0.249789321888
reality, unharmed: 0.079695428391
internal, jam-packed: 0.0
realizing, scarce: 0.512469613327
unethical, unquestionable: 0.878673479502
bogus, indisposed: 0.359201853269
guilty, hearty: 0.071447275282
doing, vested: 1.00200070562
empty, transnational: 0.084713470445
immediate, traditional: 0.386402274902
multi-faceted, overloaded: 0.0
introduced, multidimensional: 0.411075952723
lazy, unfathomable: 0.785176197861
presented, timelier: 0.868799554759
almighty, persuaded: 1.03236315321
accelerated, charming: -0.544745941023
pronounced, seductive: 0.968840520343
changed, mid-: 0.0
aggravated, directly: -0.158071486218
foxy, il: 0.731746142609
fuller, salient: 1.38587273576
gotta, hereto: 0.334650875219
goofy, wreckable: 0.0
awake, sticky: 0.779815919739
justified, remarkable: 0.911846674046
fragile, succeed: 0.761364427055
annually, normal: 0.455175138958
elite, well-trained: 0.0
courteous, greater: 0.233928042459
died, turbulent: 0.926442232142
